id,CSV商品名,サイト商品名,詳細URL,旧値,新値,結果,理由
1,ピアスorイヤリング ほしかがみ<星鏡> 交差 両面カット ホログラム,ピアスorイヤリング ほしかがみ<星鏡> 交差 両面カット ホログラム,https://tomokiriko.stores.jp/items/6a33895960b203151d478ff8,29700,29700,unchanged,既存価格
2,ペンダント ほしかがみ<星鏡> 両面カット ホログラム,ペンダント ほしかがみ<星鏡> 両面カット ホログラム,https://tomokiriko.stores.jp/items/6a33888fa932bf0ecbb77fb6,20020,20020,unchanged,既存価格
3,ぐい呑 星の影 口剥き 金紫,ぐい呑 星の影 口剥き 金紫,https://tomokiriko.stores.jp/items/6a33881c3ee3fd0e038766f7,SOLD OUT,27060,updated,
4,ぐい呑み 星の影 口剥き 黒,ぐい呑み 星の影 口剥き 黒,https://tomokiriko.stores.jp/items/6a3387b7de31fb0704466dfe,27060,27060,unchanged,既存価格
5,蓋物 碧空 青,蓋物 碧空 青,https://tomokiriko.stores.jp/items/6a3386e08ae178005400b7e4,88000,88000,unchanged,既存価格
6,樽型グラス ゆめかわ 杏薔薇,樽型グラス ゆめかわ 杏薔薇,https://tomokiriko.stores.jp/items/6a3385abe88e810704b85bbc,77000,77000,unchanged,既存価格
7,寸胴ロックグラス 夕陽影 黒×青,寸胴ロックグラス 夕陽影 黒×青,https://tomokiriko.stores.jp/items/6a33851a434b950048869311,69300,69300,unchanged,既存価格
8,天開ロックグラス 天夜灯<あまよい> アンバー,天開ロックグラス 天夜灯<あまよい> アンバー,https://tomokiriko.stores.jp/items/6a3382b6508a10156eded52d,40040,40040,unchanged,既存価格
9,ストレートロックグラス 舞 <ひらり>青,ストレートロックグラス 舞 <ひらり>青,https://tomokiriko.stores.jp/items/6a338348d1f92315c323b43f,42900,42900,unchanged,既存価格
10,ぐい呑み つながり アンバー,ぐい呑み つながり アンバー,https://tomokiriko.stores.jp/items/6a33874531cf6407484c4258,SOLD OUT,23650,updated,
11,ペンダント うすらい<薄氷> 星 両面カット 金赤,ペンダント うすらい<薄氷> 星 両面カット 金赤,https://tomokiriko.stores.jp/items/6a3388dfff05041561e74338,SOLD OUT,15400,updated,
12,樽型グラス ゆめかわ ランタナ,樽型グラス ゆめかわ ランタナ,https://tomokiriko.stores.jp/items/6a33862485f6340deb50abf9,SOLD OUT,77000,updated,
13,寸胴ロックグラス 夕陽影 黒×青×透明,寸胴ロックグラス 夕陽影 黒×青×透明,https://tomokiriko.stores.jp/items/6a3384b985f634005550ab10,SOLD OUT,69300,updated,
14,寸胴ロックグラス 夕陽影 緑×アンバー×透明,寸胴ロックグラス 夕陽影 緑×アンバー×透明,https://tomokiriko.stores.jp/items/6a33842db354bf1e88903b58,SOLD OUT,69300,updated,
15,寸胴ロックグラス 夕陽影 虹,寸胴ロックグラス 夕陽影 虹,https://tomokiriko.stores.jp/items/6a3383b96d819c15f0564425,SOLD OUT,77000,updated,
16,天開ロックグラス 天夜灯<あまよい> 金赤,天開ロックグラス 天夜灯<あまよい> 金赤,https://tomokiriko.stores.jp/items/6a33825153ff9f16c034d069,SOLD OUT,40590,updated,
17,天開ロックグラス 天夜灯<あまよい> オレンジ,天開ロックグラス 天夜灯<あまよい> オレンジ,https://tomokiriko.stores.jp/items/6a3381e723b5d0149b3f786e,SOLD OUT,40040,updated,
18,寸胴ロックグラス 夕陽影 ゆめかわ,寸胴ロックグラス 夕陽影 ゆめかわ,https://tomokiriko.stores.jp/items/69a0469f3b493854d24a0fb2,SOLD OUT,77000,updated,
19,寸胴ロックグラス 夕陽影 ゆめかわ,寸胴ロックグラス 夕陽影 ゆめかわ,https://tomokiriko.stores.jp/items/69a0464d5793b54d6fae4e46,SOLD OUT,77000,updated,
20,天開ロックグラス 天夜灯<あまよい> 青,天開ロックグラス 天夜灯<あまよい> 青,https://tomokiriko.stores.jp/items/69a045f399747d4d509f4861,SOLD OUT,40040,updated,
21,天開ロックグラス 天夜灯<あまよい> 金赤,天開ロックグラス 天夜灯<あまよい> 金赤,https://tomokiriko.stores.jp/items/69a045601c5df04f07012bc2,SOLD OUT,40590,updated,
22,天開ロックグラス 天夜灯<あまよい> 黄色,天開ロックグラス 天夜灯<あまよい> 黄色,https://tomokiriko.stores.jp/items/69a044ec5793b54249ae4e41,SOLD OUT,40040,updated,
23,天開ロックグラス 天夜灯<あまよい> アンバー,天開ロックグラス 天夜灯<あまよい> アンバー,https://tomokiriko.stores.jp/items/69a0445e3b49383ab24a105c,SOLD OUT,40040,updated,
24,ぐい呑 星の影 アンバー,ぐい呑 星の影 アンバー,https://tomokiriko.stores.jp/items/69a044025793b537c5ae4e58,SOLD OUT,22770,updated,
25,ぐい呑 常夜 アンバー,ぐい呑 常夜 アンバー,https://tomokiriko.stores.jp/items/69a043ba09d6303bbf5dd418,SOLD OUT,25300,updated,
26,ぐい呑 常夜 青,ぐい呑 常夜 青,https://tomokiriko.stores.jp/items/69a0430e3b49382f7f4a1001,SOLD OUT,25300,updated,
27,ペンダント chocolate 星八角籠目 金紫,ペンダント chocolate 星八角籠目 金紫,https://tomokiriko.stores.jp/items/69a042883b49382f7f4a0fd3,SOLD OUT,14300,updated,
28,ペンダント ほしかがみ<星鏡> 八角籠目 金赤,ペンダント ほしかがみ<星鏡> 八角籠目 金赤,https://tomokiriko.stores.jp/items/69a0421799747d2c899f486b,SOLD OUT,14300,updated,
